concert hall;floor;side;row;number;x;y
Zeneakadémia;orchestra;left;1;1;233;205
Zeneakadémia;orchestra;left;1;2;247;205
Zeneakadémia;orchestra;left;1;3;261;205
Zeneakadémia;orchestra;left;1;4;275;205
Zeneakadémia;orchestra;left;1;5;289;205
Zeneakadémia;orchestra;left;1;6;303;205
Zeneakadémia;orchestra;left;1;7;317;205
Zeneakadémia;orchestra;left;1;8;331;205
Zeneakadémia;orchestra;left;1;9;345;205
Zeneakadémia;orchestra;left;1;10;359;205
Zeneakadémia;orchestra;left;1;11;373;205
Zeneakadémia;orchestra;left;1;12;387;205

Zeneakadémia;orchestra;left;2;1;233;217
Zeneakadémia;orchestra;left;2;2;247;217
Zeneakadémia;orchestra;left;2;3;261;217
Zeneakadémia;orchestra;left;2;4;275;217
Zeneakadémia;orchestra;left;2;5;289;217
Zeneakadémia;orchestra;left;2;6;303;217
Zeneakadémia;orchestra;left;2;7;317;217
Zeneakadémia;orchestra;left;2;8;331;217
Zeneakadémia;orchestra;left;2;9;345;217
Zeneakadémia;orchestra;left;2;10;359;217
Zeneakadémia;orchestra;left;2;11;373;217
Zeneakadémia;orchestra;left;2;12;387;217

Zeneakadémia;orchestra;left;3;1;233;229
Zeneakadémia;orchestra;left;3;2;247;229
Zeneakadémia;orchestra;left;3;3;261;229
Zeneakadémia;orchestra;left;3;4;275;229
Zeneakadémia;orchestra;left;3;5;289;229
Zeneakadémia;orchestra;left;3;6;303;229
Zeneakadémia;orchestra;left;3;7;317;229
Zeneakadémia;orchestra;left;3;8;331;229
Zeneakadémia;orchestra;left;3;9;345;229
Zeneakadémia;orchestra;left;3;10;359;229
Zeneakadémia;orchestra;left;3;11;373;229
Zeneakadémia;orchestra;left;3;12;387;229

Zeneakadémia;orchestra;left;4;1;233;241
Zeneakadémia;orchestra;left;4;2;247;241
Zeneakadémia;orchestra;left;4;3;261;241
Zeneakadémia;orchestra;left;4;4;275;241
Zeneakadémia;orchestra;left;4;5;289;241
Zeneakadémia;orchestra;left;4;6;303;241
Zeneakadémia;orchestra;left;4;7;317;241
Zeneakadémia;orchestra;left;4;8;331;241
Zeneakadémia;orchestra;left;4;9;345;241
Zeneakadémia;orchestra;left;4;10;359;241
Zeneakadémia;orchestra;left;4;11;373;241
Zeneakadémia;orchestra;left;4;12;387;241

Zeneakadémia;orchestra;left;5;1;233;253
Zeneakadémia;orchestra;left;5;2;247;253
Zeneakadémia;orchestra;left;5;3;261;253
