concert hall;floor;side;row;number;x;y
Műegyetem K épület, aula;orchestra;left;9;5;96;408
Műegyetem K épület, aula;orchestra;left;9;6;110;408
Műegyetem K épület, aula;orchestra;left;9;7;124;408
Műegyetem K épület, aula;orchestra;left;9;8;138;408
Műegyetem K épület, aula;orchestra;left;9;9;152;408
Műegyetem K épület, aula;orchestra;left;9;10;166;408
Műegyetem K épület, aula;orchestra;left;9;11;180;408
Műegyetem K épület, aula;orchestra;left;9;12;194;408
Műegyetem K épület, aula;orchestra;left;9;13;208;408
Műegyetem K épület, aula;orchestra;left;9;14;222;408

Műegyetem K épület, aula;orchestra;left;10;1;40;430
Műegyetem K épület, aula;orchestra;left;10;2;54;430
Műegyetem K épület, aula;orchestra;left;10;3;68;430
Műegyetem K épület, aula;orchestra;left;10;4;82;430
Műegyetem K épület, aula;orchestra;left;10;5;96;430
Műegyetem K épület, aula;orchestra;left;10;6;110;430
Műegyetem K épület, aula;orchestra;left;10;7;124;430
Műegyetem K épület, aula;orchestra;left;10;8;138;430
Műegyetem K épület, aula;orchestra;left;10;9;152;430
Műegyetem K épület, aula;orchestra;left;10;10;166;430
Műegyetem K épület, aula;orchestra;left;10;11;180;430
Műegyetem K épület, aula;orchestra;left;10;12;194;430
Műegyetem K épület, aula;orchestra;left;10;13;208;430
Műegyetem K épület, aula;orchestra;left;10;14;222;430

Műegyetem K épület, aula;orchestra;left;11;1;40;452
Műegyetem K épület, aula;orchestra;left;11;2;54;452
Műegyetem K épület, aula;orchestra;left;11;3;68;452
Műegyetem K épület, aula;orchestra;left;11;4;82;452
Műegyetem K épület, aula;orchestra;left;11;5;96;452
Műegyetem K épület, aula;orchestra;left;11;6;110;452
Műegyetem K épület, aula;orchestra;left;11;7;124;452
Műegyetem K épület, aula;orchestra;left;11;8;138;452
Műegyetem K épület, aula;orchestra;left;11;9;152;452
Műegyetem K épület, aula;orchestra;left;11;10;166;452
Műegyetem K épület, aula;orchestra;left;11;11;180;452
Műegyetem K épület, aula;orchestra;left;11;12;194;452
Műegyetem K épület, aula;orchestra;left;11;13;208;452
Műegyetem K épület, aula;orchestra;left;11;14;222;452

Műegyetem K épület, aula;orchestra;left;12;1;40;474
Műegyetem K épület, aula;orchestra;left;12;2;54;474
Műegyetem K épület, aula;orchestra;left;12;3;68;474
Műegyetem K épület, aula;orchestra;left;12;4;82;474
Műegyetem K épület, aula;orchestra;left;12;5;96;474
Műegyetem K épület, aula;orchestra;left;12;6;110;474
Műegyetem K épület, aula;orchestra;left;12;7;124;474
Műegyetem K épület, aula;orchestra;left;12;8;138;474
Műegyetem K épület, aula;orchestra;left;12;9;152;474
Műegyetem K épület, aula;orchestra;left;12;10;166;474
Műegyetem K épület, aula;orchestra;left;12;11;180;474
