concert hall;floor;side;row;number;x;y
MOM Kulturális Központ;orchestra;left;1;1;35;100
MOM Kulturális Központ;orchestra;left;1;2;49;100
MOM Kulturális Központ;orchestra;left;1;3;63;100
MOM Kulturális Központ;orchestra;left;1;4;77;100
MOM Kulturális Központ;orchestra;left;1;5;91;100
MOM Kulturális Központ;orchestra;left;1;6;105;100
MOM Kulturális Központ;orchestra;left;1;7;119;100
MOM Kulturális Központ;orchestra;left;1;8;133;100
MOM Kulturális Központ;orchestra;left;1;9;147;100
MOM Kulturális Központ;orchestra;left;1;10;161;100
MOM Kulturális Központ;orchestra;left;1;11;175;100
MOM Kulturális Központ;orchestra;left;1;12;189;100
MOM Kulturális Központ;orchestra;left;1;13;203;100
MOM Kulturális Központ;orchestra;left;1;14;217;100

MOM Kulturális Központ;orchestra;right;1;13;231;100
MOM Kulturális Központ;orchestra;right;1;12;245;100
MOM Kulturális Központ;orchestra;right;1;11;259;100
MOM Kulturális Központ;orchestra;right;1;10;273;100
MOM Kulturális Központ;orchestra;right;1;9;287;100
MOM Kulturális Központ;orchestra;right;1;8;301;100
MOM Kulturális Központ;orchestra;right;1;7;315;100
MOM Kulturális Központ;orchestra;right;1;6;329;100
MOM Kulturális Központ;orchestra;right;1;5;343;100
MOM Kulturális Központ;orchestra;right;1;4;357;100
MOM Kulturális Központ;orchestra;right;1;3;371;100
MOM Kulturális Központ;orchestra;right;1;2;385;100
MOM Kulturális Központ;orchestra;right;1;1;399;100

MOM Kulturális Központ;orchestra;left;2;1;42;112
MOM Kulturális Központ;orchestra;left;2;2;56;112
MOM Kulturális Központ;orchestra;left;2;3;70;112
MOM Kulturális Központ;orchestra;left;2;4;84;112
MOM Kulturális Központ;orchestra;left;2;5;98;112
MOM Kulturális Központ;orchestra;left;2;6;112;112
MOM Kulturális Központ;orchestra;left;2;7;126;112
MOM Kulturális Központ;orchestra;left;2;8;140;112
MOM Kulturális Központ;orchestra;left;2;9;154;112
MOM Kulturális Központ;orchestra;left;2;10;168;112
MOM Kulturális Központ;orchestra;left;2;11;182;112
MOM Kulturális Központ;orchestra;left;2;12;196;112
MOM Kulturális Központ;orchestra;left;2;13;210;112

MOM Kulturális Központ;orchestra;right;2;13;224;112
MOM Kulturális Központ;orchestra;right;2;12;238;112
MOM Kulturális Központ;orchestra;right;2;11;252;112
MOM Kulturális Központ;orchestra;right;2;10;266;112
MOM Kulturális Központ;orchestra;right;2;9;280;112
MOM Kulturális Központ;orchestra;right;2;8;294;112
MOM Kulturális Központ;orchestra;right;2;7;308;112
MOM Kulturális Központ;orchestra;right;2;6;322;112
MOM Kulturális Központ;orchestra;right;2;5;336;112
MOM Kulturális Központ;orchestra;right;2;4;350;112
MOM Kulturális Központ;orchestra;right;2;3;364;112
MOM Kulturális Központ;orchestra;right;2;2;378;112
MOM Kulturális Központ;orchestra;right;2;1;392;112

MOM Kulturális Központ;orchestra;left;3;1;35;124
MOM Kulturális Központ;orchestra;left;3;2;49;124
MOM Kulturális Központ;orchestra;left;3;3;63;124
MOM Kulturális Központ;orchestra;left;3;4;77;124
MOM Kulturális Központ;orchestra;left;3;5;91;124
MOM Kulturális Központ;orchestra;left;3;6;105;124
MOM Kulturális Központ;orchestra;left;3;7;119;124
MOM Kulturális Központ;orchestra;left;3;8;133;124
MOM Kulturális Központ;orchestra;left;3;9;147;124
