concert hall;floor;side;row;number;x;y
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;6;247;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;7;261;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;8;275;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;9;289;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;10;303;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;11;317;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;12;331;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;13;345;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;14;359;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;15;373;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;C;16;387;229

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;15;401;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;14;415;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;13;429;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;12;443;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;11;457;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;10;471;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;9;485;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;8;499;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;7;513;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;6;527;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;5;541;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;4;555;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;3;569;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;2;583;229
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;C;1;597;229

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;1;170;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;2;184;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;3;198;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;4;212;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;5;226;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;6;240;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;7;254;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;8;268;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;9;282;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;10;296;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;11;310;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;12;324;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;13;338;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;14;352;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;15;366;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;1;16;380;241

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;16;394;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;15;408;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;14;422;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;13;436;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;12;450;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;11;464;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;10;478;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;9;492;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;8;506;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;7;520;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;6;534;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;5;548;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;4;562;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;3;576;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;2;590;241
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;1;1;604;241

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;1;170;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;2;184;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;3;198;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;4;212;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;5;226;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;6;240;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;7;254;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;8;268;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;9;282;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;10;296;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;11;310;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;12;324;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;13;338;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;14;352;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;15;366;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;left;2;16;380;253

Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;16;394;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;15;408;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;14;422;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;13;436;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;12;450;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;11;464;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;10;478;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;9;492;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;8;506;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;7;520;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;6;534;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;5;548;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;4;562;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;3;576;253
Művészetek Palotája, Bartók Béla Nemzeti Hangversenyterem;orchestra;right;2;2;590;253
