concert hall;floor;side;row;number;x;y
Kodály Központ, Pécs;orchestra;left;IV;5;420;480
Kodály Központ, Pécs;orchestra;left;IV;6;435;476
Kodály Központ, Pécs;orchestra;left;IV;7;448;473
Kodály Központ, Pécs;orchestra;left;IV;8;463;471
Kodály Központ, Pécs;orchestra;left;IV;9;476;468
Kodály Központ, Pécs;orchestra;left;IV;10;490;466

Kodály Központ, Pécs;orchestra;left;V;1;370;513
Kodály Központ, Pécs;orchestra;left;V;2;386;511
Kodály Központ, Pécs;orchestra;left;V;3;400;508
Kodály Központ, Pécs;orchestra;left;V;4;414;505
Kodály Központ, Pécs;orchestra;left;V;5;428;502
Kodály Központ, Pécs;orchestra;left;V;6;441;499
Kodály Központ, Pécs;orchestra;left;V;7;456;497
Kodály Központ, Pécs;orchestra;left;V;8;470;492
Kodály Központ, Pécs;orchestra;left;V;9;484;491
Kodály Központ, Pécs;orchestra;left;V;10;497;488

Kodály Központ, Pécs;orchestra;left;VI;1;378;536
Kodály Központ, Pécs;orchestra;left;VI;2;392;534
Kodály Központ, Pécs;orchestra;left;VI;3;406;531
Kodály Központ, Pécs;orchestra;left;VI;4;420;528
Kodály Központ, Pécs;orchestra;left;VI;5;433;526
Kodály Központ, Pécs;orchestra;left;VI;6;448;522
Kodály Központ, Pécs;orchestra;left;VI;7;461;519
Kodály Központ, Pécs;orchestra;left;VI;8;476;517
Kodály Központ, Pécs;orchestra;left;VI;9;490;514
Kodály Központ, Pécs;orchestra;left;VI;10;504;511

Kodály Központ, Pécs;orchestra;left;VII;1;384;559
Kodály Központ, Pécs;orchestra;left;VII;2;399;556
Kodály Központ, Pécs;orchestra;left;VII;3;412;553
Kodály Központ, Pécs;orchestra;left;VII;4;427;551
Kodály Központ, Pécs;orchestra;left;VII;5;441;548
Kodály Központ, Pécs;orchestra;left;VII;6;454;544
Kodály Központ, Pécs;orchestra;left;VII;7;468;542
Kodály Központ, Pécs;orchestra;left;VII;8;482;539
Kodály Központ, Pécs;orchestra;left;VII;9;497;537
Kodály Központ, Pécs;orchestra;left;VII;10;511;534

Kodály Központ, Pécs;orchestra;left;VIII;1;390;582
Kodály Központ, Pécs;orchestra;left;VIII;2;404;580
Kodály Központ, Pécs;orchestra;left;VIII;3;419;576
Kodály Központ, Pécs;orchestra;left;VIII;4;432;573
Kodály Központ, Pécs;orchestra;left;VIII;5;447;571
Kodály Központ, Pécs;orchestra;left;VIII;6;461;567
Kodály Központ, Pécs;orchestra;left;VIII;7;475;565
Kodály Központ, Pécs;orchestra;left;VIII;8;489;562
Kodály Központ, Pécs;orchestra;left;VIII;9;502;559
Kodály Központ, Pécs;orchestra;left;VIII;10;517;557

Kodály Központ, Pécs;orchestra;left;IX;1;396;604
Kodály Központ, Pécs;orchestra;left;IX;2;412;602
Kodály Központ, Pécs;orchestra;left;IX;3;426;599
Kodály Központ, Pécs;orchestra;left;IX;4;440;596
Kodály Központ, Pécs;orchestra;left;IX;5;454;594
Kodály Központ, Pécs;orchestra;left;IX;6;468;590
Kodály Központ, Pécs;orchestra;left;IX;7;482;588
Kodály Központ, Pécs;orchestra;left;IX;8;496;585
Kodály Központ, Pécs;orchestra;left;IX;9;510;582
Kodály Központ, Pécs;orchestra;left;IX;10;524;579

Kodály Központ, Pécs;orchestra;left;X;1;403;628
Kodály Központ, Pécs;orchestra;left;X;2;417;624
Kodály Központ, Pécs;orchestra;left;X;3;432;622
Kodály Központ, Pécs;orchestra;left;X;4;445;619
Kodály Központ, Pécs;orchestra;left;X;5;460;616
Kodály Központ, Pécs;orchestra;left;X;6;474;613
Kodály Központ, Pécs;orchestra;left;X;7;488;610
Kodály Központ, Pécs;orchestra;left;X;8;502;608
Kodály Központ, Pécs;orchestra;left;X;9;516;605
Kodály Központ, Pécs;orchestra;left;X;10;529;602

Kodály Központ, Pécs;orchestra;left;XI;1;409;650
Kodály Központ, Pécs;orchestra;left;XI;2;424;647
Kodály Központ, Pécs;orchestra;left;XI;3;439;644
Kodály Központ, Pécs;orchestra;left;XI;4;453;642
Kodály Központ, Pécs;orchestra;left;XI;5;466;639
Kodály Központ, Pécs;orchestra;left;XI;6;481;636
Kodály Központ, Pécs;orchestra;left;XI;7;495;633
Kodály Központ, Pécs;orchestra;left;XI;8;508;630
Kodály Központ, Pécs;orchestra;left;XI;9;523;628
Kodály Központ, Pécs;orchestra;left;XI;10;536;625

Kodály Központ, Pécs;orchestra;left;XII;1;416;673
Kodály Központ, Pécs;orchestra;left;XII;2;431;670
Kodály Központ, Pécs;orchestra;left;XII;3;444;667
Kodály Központ, Pécs;orchestra;left;XII;4;458;664
Kodály Központ, Pécs;orchestra;left;XII;5;472;662
Kodály Központ, Pécs;orchestra;left;XII;6;486;659
Kodály Központ, Pécs;orchestra;left;XII;7;500;656
Kodály Központ, Pécs;orchestra;left;XII;8;514;653
Kodály Központ, Pécs;orchestra;left;XII;9;528;650
Kodály Központ, Pécs;orchestra;left;XII;10;543;648

Kodály Központ, Pécs;orchestra;left;XIII;1;422;695
Kodály Központ, Pécs;orchestra;left;XIII;2;437;693
Kodály Központ, Pécs;orchestra;left;XIII;3;452;690
Kodály Központ, Pécs;orchestra;left;XIII;4;466;687
Kodály Központ, Pécs;orchestra;left;XIII;5;480;683
Kodály Központ, Pécs;orchestra;left;XIII;6;494;682
Kodály Központ, Pécs;orchestra;left;XIII;7;508;679
Kodály Központ, Pécs;orchestra;left;XIII;8;522;676
Kodály Központ, Pécs;orchestra;left;XIII;9;536;674
Kodály Központ, Pécs;orchestra;left;XIII;10;550;670

Kodály Központ, Pécs;orchestra;right;A;1;650;192
Kodály Központ, Pécs;orchestra;right;A;2;636;194
Kodály Központ, Pécs;orchestra;right;A;3;622;197
Kodály Központ, Pécs;orchestra;right;A;4;608;199
Kodály Központ, Pécs;orchestra;right;A;5;594;202
Kodály Központ, Pécs;orchestra;right;A;6;580;205
Kodály Központ, Pécs;orchestra;right;A;7;566;208
Kodály Központ, Pécs;orchestra;right;A;8;552;212
Kodály Központ, Pécs;orchestra;right;A;9;538;213
Kodály Központ, Pécs;orchestra;right;A;10;524;217
Kodály Központ, Pécs;orchestra;right;A;11;510;219
Kodály Központ, Pécs;orchestra;right;A;12;496;222
Kodály Központ, Pécs;orchestra;right;A;13;483;226
Kodály Központ, Pécs;orchestra;right;A;14;468;228

Kodály Központ, Pécs;orchestra;right;B;1;654;214
Kodály Központ, Pécs;orchestra;right;B;2;640;217
Kodály Központ, Pécs;orchestra;right;B;3;625;220
Kodály Központ, Pécs;orchestra;right;B;4;612;222
Kodály Központ, Pécs;orchestra;right;B;5;598;225
Kodály Központ, Pécs;orchestra;right;B;6;584;228
Kodály Központ, Pécs;orchestra;right;B;7;570;231
Kodály Központ, Pécs;orchestra;right;B;8;555;233
Kodály Központ, Pécs;orchestra;right;B;9;542;236
Kodály Központ, Pécs;orchestra;right;B;10;528;239
Kodály Központ, Pécs;orchestra;right;B;11;514;242
Kodály Központ, Pécs;orchestra;right;B;12;499;245
Kodály Központ, Pécs;orchestra;right;B;13;486;247
Kodály Központ, Pécs;orchestra;right;B;14;471;250

Kodály Központ, Pécs;orchestra;right;C;1;657;237
Kodály Központ, Pécs;orchestra;right;C;2;644;239
Kodály Központ, Pécs;orchestra;right;C;3;629;242
Kodály Központ, Pécs;orchestra;right;C;4;616;245
Kodály Központ, Pécs;orchestra;right;C;5;602;248
Kodály Központ, Pécs;orchestra;right;C;6;588;251
Kodály Központ, Pécs;orchestra;right;C;7;573;254
Kodály Központ, Pécs;orchestra;right;C;8;560;256
Kodály Központ, Pécs;orchestra;right;C;9;546;260
Kodály Központ, Pécs;orchestra;right;C;10;532;262
Kodály Központ, Pécs;orchestra;right;C;11;518;266
Kodály Központ, Pécs;orchestra;right;C;12;504;268
Kodály Központ, Pécs;orchestra;right;C;13;490;270
Kodály Központ, Pécs;orchestra;right;C;14;474;273

Kodály Központ, Pécs;orchestra;right;D;1;661;260
Kodály Központ, Pécs;orchestra;right;D;2;647;262
Kodály Központ, Pécs;orchestra;right;D;3;633;266
Kodály Központ, Pécs;orchestra;right;D;4;618;268
Kodály Központ, Pécs;orchestra;right;D;5;605;271
Kodály Központ, Pécs;orchestra;right;D;6;590;273
Kodály Központ, Pécs;orchestra;right;D;7;576;276
Kodály Központ, Pécs;orchestra;right;D;8;562;279
Kodály Központ, Pécs;orchestra;right;D;9;548;282
Kodály Központ, Pécs;orchestra;right;D;10;534;286
Kodály Központ, Pécs;orchestra;right;D;11;520;287
Kodály Központ, Pécs;orchestra;right;D;12;506;290
Kodály Központ, Pécs;orchestra;right;D;13;492;293
Kodály Központ, Pécs;orchestra;right;D;14;478;296

Kodály Központ, Pécs;orchestra;right;E;1;664;283
Kodály Központ, Pécs;orchestra;right;E;2;649;285
Kodály Központ, Pécs;orchestra;right;E;3;636;288
Kodály Központ, Pécs;orchestra;right;E;4;622;290
Kodály Központ, Pécs;orchestra;right;E;5;608;294
Kodály Központ, Pécs;orchestra;right;E;6;594;296
Kodály Központ, Pécs;orchestra;right;E;7;580;299
Kodály Központ, Pécs;orchestra;right;E;8;565;302
Kodály Központ, Pécs;orchestra;right;E;9;551;304
Kodály Központ, Pécs;orchestra;right;E;10;538;308
Kodály Központ, Pécs;orchestra;right;E;11;524;310
Kodály Központ, Pécs;orchestra;right;E;12;509;313
Kodály Központ, Pécs;orchestra;right;E;13;496;316
Kodály Központ, Pécs;orchestra;right;E;14;481;318

Kodály Központ, Pécs;orchestra;right;F;1;668;305
Kodály Központ, Pécs;orchestra;right;F;2;653;308
Kodály Központ, Pécs;orchestra;right;F;3;638;310
Kodály Központ, Pécs;orchestra;right;F;4;624;314
Kodály Központ, Pécs;orchestra;right;F;5;611;316
Kodály Központ, Pécs;orchestra;right;F;6;597;319
Kodály Központ, Pécs;orchestra;right;F;7;582;322
Kodály Központ, Pécs;orchestra;right;F;8;568;324
Kodály Központ, Pécs;orchestra;right;F;9;554;328
Kodály Központ, Pécs;orchestra;right;F;10;540;330
Kodály Központ, Pécs;orchestra;right;F;11;526;333
Kodály Központ, Pécs;orchestra;right;F;12;512;336
Kodály Központ, Pécs;orchestra;right;F;13;498;338
Kodály Központ, Pécs;orchestra;right;F;14;484;341

Kodály Központ, Pécs;orchestra;right;G;1;670;328
Kodály Központ, Pécs;orchestra;right;G;2;656;330
Kodály Központ, Pécs;orchestra;right;G;3;642;334
Kodály Központ, Pécs;orchestra;right;G;4;628;336
Kodály Központ, Pécs;orchestra;right;G;5;615;340
Kodály Központ, Pécs;orchestra;right;G;6;600;342
Kodály Központ, Pécs;orchestra;right;G;7;587;344
Kodály Központ, Pécs;orchestra;right;G;8;572;347
Kodály Központ, Pécs;orchestra;right;G;9;559;350
Kodály Központ, Pécs;orchestra;right;G;10;545;353
Kodály Központ, Pécs;orchestra;right;G;11;531;356
Kodály Központ, Pécs;orchestra;right;G;12;516;358
Kodály Központ, Pécs;orchestra;right;G;13;502;361
Kodály Központ, Pécs;orchestra;right;G;14;487;365

Kodály Központ, Pécs;orchestra;right;I;1;690;354
Kodály Központ, Pécs;orchestra;right;I;2;676;356
Kodály Központ, Pécs;orchestra;right;I;3;661;359
Kodály Központ, Pécs;orchestra;right;I;4;648;362
Kodály Központ, Pécs;orchestra;right;I;5;634;365
Kodály Központ, Pécs;orchestra;right;I;6;620;368
Kodály Központ, Pécs;orchestra;right;I;7;606;370
Kodály Központ, Pécs;orchestra;right;I;8;591;373
Kodály Központ, Pécs;orchestra;right;I;9;578;376
Kodály Központ, Pécs;orchestra;right;I;10;564;379
Kodály Központ, Pécs;orchestra;right;I;11;549;382
Kodály Központ, Pécs;orchestra;right;I;12;535;384
Kodály Központ, Pécs;orchestra;right;I;13;521;387
Kodály Központ, Pécs;orchestra;right;I;14;508;391

Kodály Központ, Pécs;orchestra;right;II;1;696;376
Kodály Központ, Pécs;orchestra;right;II;2;682;379
Kodály Központ, Pécs;orchestra;right;II;3;669;382
Kodály Központ, Pécs;orchestra;right;II;4;655;385
Kodály Központ, Pécs;orchestra;right;II;5;640;388
Kodály Központ, Pécs;orchestra;right;II;6;627;390
Kodály Központ, Pécs;orchestra;right;II;7;612;393
Kodály Központ, Pécs;orchestra;right;II;8;599;396
Kodály Központ, Pécs;orchestra;right;II;9;585;399
Kodály Központ, Pécs;orchestra;right;II;10;571;402
Kodály Központ, Pécs;orchestra;right;II;11;556;404
Kodály Központ, Pécs;orchestra;right;II;12;543;407
Kodály Központ, Pécs;orchestra;right;II;13;528;410
Kodály Központ, Pécs;orchestra;right;II;14;514;413

Kodály Központ, Pécs;orchestra;right;III;1;703;399
Kodály Központ, Pécs;orchestra;right;III;2;688;402
Kodály Központ, Pécs;orchestra;right;III;3;675;405
Kodály Központ, Pécs;orchestra;right;III;4;660;407
Kodály Központ, Pécs;orchestra;right;III;5;646;410
Kodály Központ, Pécs;orchestra;right;III;6;633;414
Kodály Központ, Pécs;orchestra;right;III;7;618;416
Kodály Központ, Pécs;orchestra;right;III;8;604;420
Kodály Központ, Pécs;orchestra;right;III;9;590;422
Kodály Központ, Pécs;orchestra;right;III;10;576;424
Kodály Központ, Pécs;orchestra;right;III;11;563;428
Kodály Központ, Pécs;orchestra;right;III;12;548;430
Kodály Központ, Pécs;orchestra;right;III;13;534;433
Kodály Központ, Pécs;orchestra;right;III;14;520;435

Kodály Központ, Pécs;orchestra;right;IV;1;710;422
Kodály Központ, Pécs;orchestra;right;IV;2;696;425
Kodály Központ, Pécs;orchestra;right;IV;3;681;427
Kodály Központ, Pécs;orchestra;right;IV;4;668;430
Kodály Központ, Pécs;orchestra;right;IV;5;654;433
Kodály Központ, Pécs;orchestra;right;IV;6;639;436
Kodály Központ, Pécs;orchestra;right;IV;7;626;439
Kodály Központ, Pécs;orchestra;right;IV;8;612;441
Kodály Központ, Pécs;orchestra;right;IV;9;598;444
Kodály Központ, Pécs;orchestra;right;IV;10;583;447
Kodály Központ, Pécs;orchestra;right;IV;11;569;450
Kodály Központ, Pécs;orchestra;right;IV;12;556;453
Kodály Központ, Pécs;orchestra;right;IV;13;542;455
Kodály Központ, Pécs;orchestra;right;IV;14;526;458

Kodály Központ, Pécs;orchestra;right;V;1;716;445
Kodály Központ, Pécs;orchestra;right;V;2;701;448
Kodály Központ, Pécs;orchestra;right;V;3;687;450
Kodály Központ, Pécs;orchestra;right;V;4;674;453
Kodály Központ, Pécs;orchestra;right;V;5;660;456
Kodály Központ, Pécs;orchestra;right;V;6;646;459
Kodály Központ, Pécs;orchestra;right;V;7;632;462
Kodály Központ, Pécs;orchestra;right;V;8;617;464
Kodály Központ, Pécs;orchestra;right;V;9;604;467
Kodály Központ, Pécs;orchestra;right;V;10;590;470
Kodály Központ, Pécs;orchestra;right;V;11;575;473
Kodály Központ, Pécs;orchestra;right;V;12;562;476
Kodály Központ, Pécs;orchestra;right;V;13;547;478
Kodály Központ, Pécs;orchestra;right;V;14;534;481

Kodály Központ, Pécs;orchestra;right;VI;1;722;467
Kodály Központ, Pécs;orchestra;right;VI;2;709;470
Kodály Központ, Pécs;orchestra;right;VI;3;694;473
Kodály Központ, Pécs;orchestra;right;VI;4;681;476
Kodály Központ, Pécs;orchestra;right;VI;5;666;479
Kodály Központ, Pécs;orchestra;right;VI;6;652;481
Kodály Központ, Pécs;orchestra;right;VI;7;638;484
Kodály Központ, Pécs;orchestra;right;VI;8;624;487
Kodály Központ, Pécs;orchestra;right;VI;9;610;490
Kodály Központ, Pécs;orchestra;right;VI;10;597;494
Kodály Központ, Pécs;orchestra;right;VI;11;582;495
Kodály Központ, Pécs;orchestra;right;VI;12;568;498
Kodály Központ, Pécs;orchestra;right;VI;13;554;501
Kodály Központ, Pécs;orchestra;right;VI;14;540;504

Kodály Központ, Pécs;orchestra;right;VII;1;728;490
Kodály Központ, Pécs;orchestra;right;VII;2;714;494
Kodály Központ, Pécs;orchestra;right;VII;3;701;496
Kodály Központ, Pécs;orchestra;right;VII;4;686;498
Kodály Központ, Pécs;orchestra;right;VII;5;672;501
Kodály Központ, Pécs;orchestra;right;VII;6;658;504
Kodály Központ, Pécs;orchestra;right;VII;7;644;508
Kodály Központ, Pécs;orchestra;right;VII;8;630;510
Kodály Központ, Pécs;orchestra;right;VII;9;616;512
Kodály Központ, Pécs;orchestra;right;VII;10;602;516
Kodály Központ, Pécs;orchestra;right;VII;11;589;518
Kodály Központ, Pécs;orchestra;right;VII;12;574;522
Kodály Központ, Pécs;orchestra;right;VII;13;560;524
Kodály Központ, Pécs;orchestra;right;VII;14;546;526

Kodály Központ, Pécs;orchestra;right;VIII;1;736;513
Kodály Központ, Pécs;orchestra;right;VIII;2;722;516
Kodály Központ, Pécs;orchestra;right;VIII;3;708;518
Kodály Központ, Pécs;orchestra;right;VIII;4;694;521
Kodály Központ, Pécs;orchestra;right;VIII;5;680;524
Kodály Központ, Pécs;orchestra;right;VIII;6;666;527
Kodály Központ, Pécs;orchestra;right;VIII;7;652;530
