concert hall;floor;side;row;number;x;y
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;13;310;290
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;13;330;290
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;12;290;289
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;12;350;289
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;11;270;287
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;11;370;287
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;10;250;284
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;10;390;284
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;9;231;281
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;9;409;281
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;8;211;276
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;8;429;276
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;7;192;271
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;7;448;271
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;6;173;265
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;6;467;265
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;5;154;258
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;5;486;258
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;4;136;250
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;4;504;250
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;3;118;241
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;3;522;241
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;2;100;231
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;2;540;231
Kőrösi Kulturális Központ, Színházterem;orchestra;left;1;1;83;221
Kőrösi Kulturális Központ, Színházterem;orchestra;right;1;1;557;221
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;14;310;314
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;14;330;314
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;13;290;313
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;13;350;313
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;12;270;311
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;12;370;311
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;11;250;309
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;11;390;309
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;10;231;305
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;10;409;305
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;9;211;301
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;9;429;301
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;8;192;296
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;8;448;296
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;7;173;290
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;7;467;290
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;6;154;283
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;6;486;283
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;5;135;276
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;5;505;276
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;4;117;267
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;4;523;267
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;3;99;258
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;3;541;258
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;2;82;248
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;2;558;248
Kőrösi Kulturális Központ, Színházterem;orchestra;left;2;1;65;238
Kőrösi Kulturális Központ, Színházterem;orchestra;right;2;1;575;238
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;15;310;338
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;15;330;338
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;14;290;337
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;14;350;337
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;13;270;335
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;13;370;335
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;12;250;333
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;12;390;333
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;11;230;330
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;11;410;330
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;10;211;326
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;10;429;326
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;9;191;321
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;9;449;321
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;8;172;315
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;8;468;315
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;7;153;309
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;7;487;309
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;6;135;301
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;6;505;301
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;5;116;293
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;5;524;293
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;4;98;285
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;4;542;285
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;3;81;275
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;3;559;275
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;2;64;265
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;2;576;265
Kőrösi Kulturális Központ, Színházterem;orchestra;left;3;1;47;254
Kőrösi Kulturális Központ, Színházterem;orchestra;right;3;1;593;254
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;16;310;362
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;16;330;362
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;15;290;361
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;15;350;361
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;14;270;360
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;14;370;360
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;13;250;357
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;13;390;357
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;12;230;354
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;12;410;354
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;11;211;350
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;11;429;350
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;10;191;346
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;10;449;346
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;9;172;340
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;9;468;340
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;8;153;334
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;8;487;334
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;7;134;327
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;7;506;327
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;6;116;320
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;6;524;320
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;5;98;311
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;5;542;311
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;4;80;302
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;4;560;302
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;3;62;292
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;3;578;292
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;2;45;282
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;2;595;282
Kőrösi Kulturális Központ, Színházterem;orchestra;left;4;1;29;271
Kőrösi Kulturális Központ, Színházterem;orchestra;right;4;1;611;271
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;16;310;386
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;16;330;386
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;15;290;385
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;15;350;385
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;14;270;384
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;14;370;384
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;13;250;381
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;13;390;381
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;12;230;378
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;12;410;378
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;11;211;375
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;11;429;375
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;10;191;370
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;10;449;370
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;9;172;365
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;9;468;365
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;8;153;359
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;8;487;359
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;7;134;353
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;7;506;353
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;6;115;345
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;6;525;345
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;5;97;337
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;5;543;337
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;4;79;329
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;4;561;329
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;3;61;319
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;3;579;319
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;2;44;309
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;2;596;309
Kőrösi Kulturális Központ, Színházterem;orchestra;left;5;1;27;299
Kőrösi Kulturális Központ, Színházterem;orchestra;right;5;1;613;299
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;16;310;410
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;16;330;410
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;15;290;409
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;15;350;409
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;14;270;408
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;14;370;408
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;13;250;406
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;13;390;406
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;12;230;403
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;12;410;403
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;11;211;399
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;11;429;399
Kőrösi Kulturális Központ, Színházterem;orchestra;left;6;10;191;395
Kőrösi Kulturális Központ, Színházterem;orchestra;right;6;10;449;395
