concert hall;floor;side;row;number;x;y
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;13;337;289
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;13;293;289
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;12;352;288
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;12;278;288
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;11;367;287
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;11;263;287
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;10;382;285
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;10;248;285
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;9;397;282
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;9;233;282
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;8;412;279
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;8;218;279
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;7;426;276
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;7;204;276
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;6;441;272
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;6;189;272
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;5;455;267
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;5;175;267
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;4;469;262
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;4;161;262
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;3;483;257
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;3;147;257
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;2;497;251
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;2;133;251
Honvéd Kulturális Központ, Színházterem;orchestra;left;1;1;510;244
Honvéd Kulturális Központ, Színházterem;orchestra;right;1;1;120;244
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;14;337;313
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;14;293;313
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;13;352;312
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;13;278;312
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;12;367;311
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;12;263;311
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;11;382;309
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;11;248;309
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;10;397;307
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;10;233;307
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;9;412;304
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;9;218;304
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;8;426;300
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;8;204;300
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;7;441;297
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;7;189;297
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;6;455;292
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;6;175;292
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;5;470;288
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;5;160;288
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;4;484;282
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;4;146;282
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;3;497;277
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;3;133;277
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;2;511;270
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;2;119;270
Honvéd Kulturális Központ, Színházterem;orchestra;left;2;1;525;264
Honvéd Kulturális Központ, Színházterem;orchestra;right;2;1;105;264
Honvéd Kulturális Központ, Színházterem;orchestra;left;3;15;337;337
Honvéd Kulturális Központ, Színházterem;orchestra;right;3;15;293;337
Honvéd Kulturális Központ, Színházterem;orchestra;left;3;14;352;337
Honvéd Kulturális Központ, Színházterem;orchestra;right;3;14;278;337
Honvéd Kulturális Központ, Színházterem;orchestra;left;3;13;367;335
Honvéd Kulturális Központ, Színházterem;orchestra;right;3;13;263;335
Honvéd Kulturális Központ, Színházterem;orchestra;left;3;12;382;333
Honvéd Kulturális Központ, Színházterem;orchestra;right;3;12;248;333
